loss,acc,val_loss,val_acc
2.6386 , 0.1995 , 1.6664 , 0.1831
2.4704 , 0.1901 , 1.6927 , 0.0986
2.4547 , 0.1993 , 1.6276 , 0.2394
2.4227 , 0.2152 , 1.5895 , 0.2292
2.4059 , 0.2313 , 1.5427 , 0.2535
2.2437 , 0.2756 , 1.5012 , 0.2676
2.2013 , 0.2701 , 1.4838 , 0.3239
2.1478 , 0.2834 , 1.4350 , 0.3229
2.0945 , 0.2956 , 1.4592 , 0.3099
1.9807 , 0.3139 , 1.3439 , 0.3944
2.0871 , 0.3126 , 1.4670 , 0.3521
2.1234 , 0.3334 , 1.4006 , 0.4167
2.0755 , 0.3050 , 1.3569 , 0.4366
2.0183 , 0.2722 , 1.3869 , 0.4225
2.0508 , 0.3255 , 1.3772 , 0.3944
1.9286 , 0.3384 , 1.4011 , 0.3958
1.8118 , 0.3782 , 1.3552 , 0.4225
1.8871 , 0.3334 , 1.3393 , 0.5352
1.8193 , 0.3647 , 1.3341 , 0.4507
1.7886 , 0.3668 , 1.3838 , 0.4479
1.7706 , 0.3670 , 1.1673 , 0.4930
1.7462 , 0.3780 , 1.4437 , 0.3662
1.8682 , 0.3538 , 1.3542 , 0.5070
1.9373 , 0.3517 , 1.3385 , 0.4792
